iter	Logloss
0	0.6457880457
1	0.609125822
2	0.5822109471
3	0.5616609825
4	0.5463783979
5	0.5344009184
6	0.5229215173
7	0.5152188854
8	0.5076330823
9	0.5032989348
10	0.499634295
11	0.4966007163
12	0.4929492254
13	0.4901870943
14	0.4884194221
15	0.4864759822
16	0.4850126672
17	0.484055579
18	0.4826405284
19	0.4818159856
20	0.4807203626
21	0.4800929037
22	0.4790628769
23	0.4784019143
24	0.4779818555
25	0.4772015011
26	0.4766775241
27	0.4763264501
28	0.4758393759
29	0.47564605
30	0.4752456952
31	0.4749608172
32	0.474686521
33	0.4744657975
34	0.4741152774
35	0.473878066
36	0.4736832955
37	0.4733765994
38	0.4732119958
39	0.4728848263
40	0.4726201445
41	0.4724299131
42	0.4721668878
43	0.4718281074
44	0.4716552053
45	0.4714961149
46	0.471360171
47	0.4711467024
48	0.4710299119
49	0.4708901758
50	0.4707459866
51	0.4706365269
52	0.4703972151
53	0.4702471991
54	0.4701357447
55	0.4699980488
56	0.4698355751
57	0.4695928563
58	0.4694186076
59	0.4692912254
60	0.4691868331
61	0.4689447295
62	0.4687908381
63	0.4686675197
64	0.4684987609
65	0.468408491
66	0.468300335
67	0.4681960294
68	0.4681190133
69	0.4679815552
70	0.4678545133
71	0.4677237628
72	0.4675615024
73	0.467474885
74	0.4673564245
75	0.4672645113
76	0.4671620573
77	0.4670409634
78	0.4669861639
79	0.4668703853
80	0.4667794425
81	0.4667020791
82	0.466594985
83	0.4665114468
84	0.4664363885
85	0.4663268341
86	0.4661975041
87	0.4660271779
88	0.4659108979
89	0.4658359048
90	0.4657791152
91	0.4657004204
92	0.4656379318
93	0.4655970865
94	0.4655236322
95	0.4654438479
96	0.4654084461
97	0.4653048462
98	0.4652313028
99	0.4651375883
100	0.4650813011
101	0.4649237762
102	0.4648368814
103	0.4647741153
104	0.4646119766
105	0.4645137249
106	0.4644238307
107	0.4643248226
108	0.4642548056
109	0.4641629531
110	0.4640643126
111	0.4639504044
112	0.4638978221
113	0.4638257439
114	0.4637312176
115	0.4636122483
116	0.4635375312
117	0.4634502733
118	0.4633663014
119	0.4632554386
120	0.4631959516
121	0.4631117388
122	0.4629756826
123	0.4628864088
124	0.4628325268
125	0.4627567518
126	0.4626932161
127	0.4626199955
128	0.4625481895
129	0.4624647508
130	0.4624165223
131	0.4622684352
132	0.4621899257
133	0.4621106962
134	0.462001095
135	0.461874639
136	0.4617109122
137	0.461629729
138	0.4615607609
139	0.4614530545
140	0.4613542839
141	0.4612723967
142	0.4611690867
143	0.4610893954
144	0.4610022461
145	0.4609139772
146	0.4608505812
147	0.4607677877
148	0.4606434144
149	0.4605777987
150	0.4605045203
151	0.4604410493
152	0.4603892782
153	0.4603204867
154	0.4602472981
155	0.4601643785
156	0.4600814946
157	0.4599747086
158	0.4598790662
159	0.459781534
160	0.4597380038
161	0.459666882
162	0.4595934327
163	0.4595030466
164	0.4593505118
165	0.4592608645
166	0.4591673154
167	0.4590820149
168	0.4589843566
169	0.4589225811
170	0.4588175531
171	0.4587461745
